id,happiness,religion_freq,income,health,health_problem,depression,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,work_yr,family_income,status_peer,status_3_before,inc_ability,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,survey_type_1,survey_type_2,province_11,province_12,province_13,province_14,province_15,province_21,province_22,province_23,province_31,province_32,province_33,province_34,province_35,province_36,province_37,province_41,province_42,province_43,province_44,province_45,province_46,province_50,province_51,province_52,province_53,province_54,province_61,province_62,province_63,province_64,province_65,gender_1,gender_2,age,nationality_1,nationality_2,nationality_3,nationality_4,nationality_5,nationality_6,nationality_7,nationality_8,edu_a,political_1,political_2,political_3,political_4,income_p,revenue_assets,house_percent,house_value,house_percent_value,total_asset,total_asset_age,height_cm_a,weight_jin_a,bmi,health_score,hukou_1,hukou_2,hukou_3,hukou_4,hukou_5,hukou_6,hukou_7,hukou_8,hukou_loc_1,hukou_loc_2,hukou_loc_3,hukou_loc_4,media_type_1,media_type_2,media_type_3,out_leisure_p,class_a,class_10_before_a,class_10_after_a,class_14_a,class_forcast,class_review,class_change_total,work_exper_1,work_exper_2,work_exper_3,work_exper_4,work_exper_5,work_exper_6,work_status_1,work_status_2,work_status_3,work_status_4,work_status_5,work_status_6,work_status_7,work_status_8,work_status_9,work_type_1,work_type_2,work_manage_1,work_manage_2,work_manage_3,work_manage_4,family_m_a,family_income_m,family_status_1,family_status_2,family_status_3,family_status_4,family_status_5,house_a,car_1,car_2,invest_1_0,invest_1_1,invest_2_0,invest_2_1,invest_3_0,invest_3_1,invest_4_0,invest_4_1,invest_5_0,invest_5_1,invest_6_0,invest_6_1,invest_7_0,invest_7_1,invest_8_0,invest_8_1,marital_1,marital_2,marital_3,marital_4,marital_5,marital_6,marital_7,ever_divorce_0,ever_divorce_1,stay_with_someone_0,stay_with_someone_1,s_edu_diff,s_income_diff,ma_income_m,ma_income_f,first_ma_years,cur_ma_years,first_ma_age_m,first_ma_age_f,ma_age_m,ma_age_f,first_ma_age_diff,ma_age_diff,income_diff,trust_sum,pub_sum
6378,4,1,0,4,5,5,4,4,1,5,4,1,1,4,1,1,3,2,2,2,5,5,5,2,5,4,3,1,1,6,4,0,400000,2,2,2,5,5,5,5,5,5,2,5,5,2,3,5,1,2,100,100,90,100,100,100,100,100,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0.25,0,0,0,0,160,110,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,40,8,6,9,3,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200000,0,0,1,0,0,3,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,40,40,18,18,20,20,0,0,0,53,900
2777,3,1,0,4,5,4,1,1,1,2,3,1,2,5,3,5,5,4,4,5,5,5,5,2,1,2,2,3,3,5,4,0,0,2,1,2,3,3,3,3,4,4,2,3,3,3,3,3,1,3,80,70,80,80,80,80,80,80,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,1,3000000,3000000,3000000,100000,155,120,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,20,4,3,5,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,40,40,22,20,0,0,0,0,0,38,700
6915,4,1,0,4,5,5,1,1,1,4,5,5,1,5,4,5,5,4,3,2,2,5,5,1,4,4,1,1,3,3,3,0,0,2,1,3,4,3,4,3,4,4,3,5,3,4,3,3,2,4,80,70,80,80,70,70,70,60,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,60,1,0,0,0,50,0,0.5,0,0,0,0,155,95,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,3,1,7,7,4,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,30,30,27,24,0,0,5,0,0,45,600
7160,1,1,0,2,2,2,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,1,2,0,0,2,2,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,70,80,80,80,80,80,70,70,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,1,0,0,0,0,170,110,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,40,0,0,0,40,40,28,18,30,20,10,10,0,51,700
5017,3,1,0,3,3,4,2,2,1,5,3,1,1,5,4,4,5,4,4,5,1,5,5,3,3,4,1,4,3,1,2,30,0,3,2,3,5,4,3,3,4,3,3,5,3,3,3,3,1,4,60,60,60,70,80,80,80,50,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,0,0,0,0,0,0,0,90,0,0,0,1,0,0,1,500000,500000,500000,0,170,135,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,50,3,3,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,80,0,0,0,20,20,30,27,30,25,5,5,0,43,600
2356,3,1,0,3,5,5,5,1,1,5,5,1,1,5,4,1,5,4,4,5,5,5,4,1,2,5,1,3,6,1,4,0,100000,2,2,4,5,4,4,4,5,5,3,5,3,3,3,3,1,3,90,90,90,90,90,90,70,60,80,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,0,0,0,0,70,1,0,0,0,50,0,0.5,0,0,0,0,160,130,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100000,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-60,0,100000,0,50,50,32,26,0,0,5,0,0,48,800
2393,3,1,0,2,1,2,1,1,1,4,1,1,2,5,5,5,5,5,5,5,5,5,5,5,2,1,1,6,7,1,5,0,0,2,2,3,5,5,5,5,5,3,5,5,5,3,3,3,3,4,90,80,90,70,90,100,90,70,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,30,0,0,0,1,50,0,0.25,0,0,0,0,140,90,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,20,0,0,0,60,60,0,0,0,0,0,0,0,55,800
6365,3,1,0,3,3,4,1,1,1,1,1,1,5,5,4,5,5,4,4,5,5,5,4,5,4,3,1,1,6,1,4,0,0,3,1,2,4,4,4,4,4,4,4,3,3,4,4,4,2,4,60,50,60,50,50,50,50,60,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,155,90,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,3,2,4,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,70,70,19,18,0,0,0,0,0,48,500
2058,3,9,0,4,4,4,2,1,2,4,1,1,2,4,2,5,1,2,3,4,1,5,2,5,4,4,3,3,2,2,4,0,0,2,1,3,4,4,5,4,5,4,4,4,3,3,5,4,2,3,70,60,80,60,70,70,70,60,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.25,0,0,0,0,165,95,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,80,5,6,8,5,3,-1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,50,50,20,20,0,0,0,0,0,51,600
2946,4,1,0,3,4,3,1,2,1,5,2,1,2,5,4,4,5,3,2,2,3,5,5,4,3,4,3,7,2,6,4,25,0,2,2,3,4,3,3,3,4,4,3,4,4,3,3,3,2,3,60,60,60,60,60,60,60,60,60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,120,0,0,0,1,100,0,1,500000,500000,1000000,0,170,160,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,40,5,3,8,2,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,120,0,0,0,20,20,22,21,20,20,0,0,0,43,500
6622,4,1,0,5,4,3,3,1,1,4,1,1,1,5,3,4,5,4,3,5,1,5,5,5,4,4,1,1,1,1,2,0,100000,2,3,3,3,4,4,2,4,3,2,4,4,4,2,3,3,4,60,80,60,80,90,80,60,70,80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,1,3500000,3500000,3500000,150000,160,145,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,50,5,5,6,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-20,0,0,0,30,30,27,25,0,0,0,0,0,42,700
7564,4,1,0,5,5,5,1,1,3,4,4,4,2,3,5,3,5,4,3,5,5,5,5,1,2,2,1,4,4,2,2,0,100000,3,3,3,1,2,1,1,4,2,1,2,1,1,1,1,1,3,80,80,90,70,70,80,90,70,80,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,60,1,0,0,0,50,500000,1,2500000,2500000,2500000,50000,170,180,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10,4,5,5,4,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,10,10,32,28,30,30,5,5,0,19,700
3642,2,1,0,3,4,4,1,1,1,4,1,1,1,5,3,5,5,4,4,5,5,5,5,5,3,3,1,4,4,1,2,0,0,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,70,60,60,60,60,60,60,60,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1,0,0,0,0,160,100,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,5,4,6,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-20,0,0,0,20,20,24,25,0,0,0,0,0,39,600
6353,4,1,0,2,5,3,1,1,4,5,1,1,1,5,5,2,5,3,4,5,5,5,5,5,3,3,1,7,7,1,4,0,0,3,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,80,60,80,80,80,80,80,80,80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,40,1,0,0,0,50,0,1,500000,500000,500000,0,160,90,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10,4,3,5,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,40,40,22,24,0,0,0,0,0,51,700
4683,3,1,0,4,3,4,2,2,4,5,3,3,4,3,2,3,3,4,3,3,4,3,2,3,3,4,3,2,2,3,4,0,100000,2,2,2,4,3,4,2,2,3,3,3,4,3,2,3,3,5,70,70,60,60,80,70,60,80,80,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.25,0,0,0,0,165,105,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,5,6,4,5,-1,-1,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,50,50,28,26,30,25,0,0,150000,39,600
4636,3,1,0,3,4,4,2,3,4,5,2,1,1,4,3,2,2,4,4,5,4,3,5,4,2,4,3,7,2,2,3,25,100000,2,2,2,3,3,3,3,4,3,3,4,4,4,3,4,1,2,70,80,0,80,80,80,90,60,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,60,0,0,0,1,50,500000,1,500000,500000,500000,0,170,155,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,20,5,3,5,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,10,10,29,24,30,25,5,5,0,42,600
